strain	lineage_PANGOLIN	missing	coverage	gisaid	date	country	region	gender	age	lineage_GISAID	EPI
hCoV-19/Germany/BB-RKI-I-983591/2022	BA.5.1.25	0	0.992509112798047	gisaid	2022-09-15	Germany	Brandenburg	unknown	unknown	BA.5.1.25	EPI_ISL_15147354
hCoV-19/Germany/BE-ChVir-LB-220812-4772/2022	BA.5.1.25	176	0.985954586496338	gisaid	2022-08-06	Germany	Berlin	unknown	unknown	BA.5.1.25	EPI_ISL_15106992
hCoV-19/Germany/BE-RKI-I-917739/2022	BA.5.1.25	16	0.998461692806742	gisaid	2022-06-27	Germany	Berlin	unknown	unknown	BA.5.1.25	EPI_ISL_14379143
hCoV-19/Germany/BE-RKI-I-961041/2022	BA.5.1.25	36	0.994749690666488	gisaid	2022-08-22	Germany	Berlin	unknown	unknown	BA.5.1.25	EPI_ISL_14696745
hCoV-19/Germany/BW-ChVir-LB-220805-5562/2022	BA.5.1.25	215	0.984650369528141	gisaid	2022-07-28	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14295777
hCoV-19/Germany/BW-FR4120/2022	BA.5.1.25	355	0.984984784135371	gisaid	2022-10-10	Germany	Baden-Wurttemberg	Male	66	BA.5.1.25	EPI_ISL_15511878
hCoV-19/Germany/BW-FR4220/2022	BA.5.1.25	38	0.984382837842357	gisaid	2022-10-31	Germany	Baden-Wurttemberg	Male	66	BA.5.1.25	EPI_ISL_16078212
hCoV-19/Germany/BW-RKI-I-1001003/2022	BA.5.1.25	154	0.987961074139718	gisaid	2022-10-06	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15448122
hCoV-19/Germany/BW-RKI-I-1006953/2022	BA.5.1.25	5	0.997592214827944	gisaid	2022-09-30	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15518553
hCoV-19/Germany/BW-RKI-I-1038187/2022	BA.5.1.25	183	0.985720496271277	gisaid	2022-11-23	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15988989
hCoV-19/Germany/BW-RKI-I-889187/2022	BA.5.1.25	149	0.986857505935859	gisaid	2022-06-18	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14370334
hCoV-19/Germany/BW-RKI-I-892222/2022	BA.5.1.25	149	0.986857505935859	gisaid	2022-06-18	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_13924730
hCoV-19/Germany/BW-RKI-I-896281/2022	BA.5.1.25	183	0.985720496271277	gisaid	2022-06-28	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_13928015
hCoV-19/Germany/BW-RKI-I-904088/2022	BA.5.1.25	149	0.986857505935859	gisaid	2022-06-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_13937760
hCoV-19/Germany/BW-RKI-I-908507/2022	BA.5.1.25	142	0.989332174029362	gisaid	2022-07-07	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_13941523
hCoV-19/Germany/BW-RKI-I-911936/2022	BA.5.1.25	1808	0.931378122596395	gisaid	2022-07-05	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_13944734
hCoV-19/Germany/BW-RKI-I-919249/2022	BA.5.1.25	23	0.995184429655887	gisaid	2022-07-18	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14380909
hCoV-19/Germany/BW-RKI-I-920181/2022	BA.5.1	245	0.974383841086179	gisaid	2022-07-19	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14394843
hCoV-19/Germany/BW-RKI-I-931362/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-18	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14407123
hCoV-19/Germany/BW-RKI-I-933539/2022	BA.5.1.25	81	0.989131525265024	gisaid	2022-07-21	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14409606
hCoV-19/Germany/BW-RKI-I-934894/2022	BA.5.1	183	0.985720496271277	gisaid	2022-07-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14410868
hCoV-19/Germany/BW-RKI-I-935183/2022	BA.5.1.22	185	0.985653613349831	gisaid	2022-07-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14411136
hCoV-19/Germany/BW-RKI-I-935199/2022	BA.5.1.22	185	0.985653613349831	gisaid	2022-07-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14411151
hCoV-19/Germany/BW-RKI-I-941838/2022	BA.5.1.23	183	0.985720496271277	gisaid	2022-08-02	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14418781
hCoV-19/Germany/BW-RKI-I-947842/2022	BA.5.1.25	613	0.975554292211484	gisaid	2022-08-08	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14516595
hCoV-19/Germany/BW-RKI-I-947908/2022	BA.5.1.23	486	0.966525097816273	gisaid	2022-08-08	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14516661
hCoV-19/Germany/BW-RKI-I-950049/2022	BA.5.1.25	318	0.981205899073672	gisaid	2022-08-10	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14519026
hCoV-19/Germany/BW-RKI-I-954960/2022	BA.5.1.23	183	0.985720496271277	gisaid	2022-08-11	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14691974
hCoV-19/Germany/BW-RKI-I-958893/2022	BA.5.1.23	414	0.977995518844263	gisaid	2022-08-15	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14694756
hCoV-19/Germany/BW-RKI-I-962273/2022	BA.5.1.23	368	0.984616928067418	gisaid	2022-08-22	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14697637
hCoV-19/Germany/BW-RKI-I-962804/2022	BA.5.1.25	176	0.985954586496338	gisaid	2022-08-16	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14698124
hCoV-19/Germany/BW-RKI-I-964265/2022	BA.5.1.25	182	0.985753937732	gisaid	2022-08-23	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_14877343
hCoV-19/Germany/BW-RKI-I-979120/2022	BA.5.1.25	372	0.983613684245728	gisaid	2022-09-12	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15134305
hCoV-19/Germany/BW-RKI-I-979129/2022	BA.5.1.25	596	0.976122797043775	gisaid	2022-09-12	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15134313
hCoV-19/Germany/BW-RKI-I-979367/2022	BA.5.1.25	330	0.985018225596094	gisaid	2022-09-12	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15134631
hCoV-19/Germany/BW-RKI-I-980039/2022	BA.5.1	149	0.986857505935859	gisaid	2022-09-10	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15135320
hCoV-19/Germany/BW-RKI-I-980064/2022	BA.5.1.25	164	0.986355884025014	gisaid	2022-09-01	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15135345
hCoV-19/Germany/BW-RKI-I-994003/2022	BA.5.1.25	262	0.98307862087416	gisaid	2022-09-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15442265
hCoV-19/Germany/BW-RKI-I-994225/2022	BA.5.1.25	176	0.985954586496338	gisaid	2022-09-27	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15442785
hCoV-19/Germany/BW-RKI-I-997768/2022	BA.5.1.25	81	0.989131525265024	gisaid	2022-10-01	Germany	Baden-Wurttemberg	unknown	unknown	BA.5.1.25	EPI_ISL_15445130
hCoV-19/Germany/BY-MVP-000015087/2022	BA.5.1.25	24	0.996388322241916	gisaid	2022-06-17	Germany	Bavaria	Female	22	BA.5.1.25	EPI_ISL_13900572
hCoV-19/Germany/BY-RKI-I-1011055/2022	BA.5.1.25	890	0.967795873323747	gisaid	2022-10-20	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15521556
hCoV-19/Germany/BY-RKI-I-1041001/2022	DJ.1.3	62	0.995318195498779	gisaid	2022-11-21	Germany	Bavaria	unknown	unknown	DJ.1	EPI_ISL_15991644
hCoV-19/Germany/BY-RKI-I-847207/2022	BA.5.1.25	198	0.989231849647193	gisaid	2022-05-11	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_13240592
hCoV-19/Germany/BY-RKI-I-859568/2022	BA.5.1.25	2	0.99588670033107	gisaid	2022-06-04	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_13267692
hCoV-19/Germany/BY-RKI-I-971926/2022	BA.5.1.25	51	0.994248068755643	gisaid	2022-09-06	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15127483
hCoV-19/Germany/BY-RKI-I-972084/2022	BA.5.1.25	929	0.964786141858676	gisaid	2022-08-29	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15127625
hCoV-19/Germany/BY-RKI-I-973501/2022	BA.5.1.25	176	0.985954586496338	gisaid	2022-09-08	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15129500
hCoV-19/Germany/BY-RKI-I-978726/2022	BA.5.1.25	2	0.99588670033107	gisaid	2022-09-09	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15133941
hCoV-19/Germany/BY-RKI-I-986278/2022	BA.5.1.25	0	0.996421763702639	gisaid	2022-08-23	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15149708
hCoV-19/Germany/BY-RKI-I-986520/2022	BA.5.1.25	0	0.996187673477578	gisaid	2022-08-23	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15149852
hCoV-19/Germany/BY-RKI-I-990816/2022	BA.5.1.25	796	0.966324449051935	gisaid	2022-09-15	Germany	Bavaria	unknown	unknown	BA.5.1.25	EPI_ISL_15265836
hCoV-19/Germany/HB-RKI-I-952114/2022	BA.5.1.25	8	0.999598702471324	gisaid	2022-08-01	Germany	Bremen	unknown	unknown	BA.5.1.25	EPI_ISL_14521622
hCoV-19/Germany/HB-RKI-I-955596/2022	BA.5.1.25	12	0.998595458649634	gisaid	2022-08-02	Germany	Bremen	unknown	unknown	BA.5.1.25	EPI_ISL_14692497
hCoV-19/Germany/HB-RKI-I-974326/2022	BA.5.1.25	5	0.998227602581681	gisaid	2022-08-29	Germany	Bremen	unknown	unknown	BA.5.1.25	EPI_ISL_15130213
hCoV-19/Germany/HE-USAFSAM-S18356/2022	BA.5.1.25	847	0.966391331973381	gisaid	2022-06-29	Germany	Hesse	Male	64	BA.5.1.25	EPI_ISL_14187403
hCoV-19/Germany/HH-RKI-I-955467/2022	BA.5.1	1389	0.952479684312611	gisaid	2022-08-05	Germany	Hamburg	unknown	unknown	BA.5.1.25	EPI_ISL_14692375
hCoV-19/Germany/NI-RKI-I-1036087/2022	DJ.1.1	164	0.991271778751296	gisaid	2022-11-18	Germany	Lower Saxony	unknown	unknown	DJ.1.1	EPI_ISL_15987456
hCoV-19/Germany/NI-RKI-I-1055927/2022	BA.5.1.25	350	0.980135772330535	gisaid	2022-10-24	Germany	Lower Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_16149424
hCoV-19/Germany/NI-RKI-I-949737/2022	BA.5.1.25	431	0.984583486606695	gisaid	2022-08-08	Germany	Lower Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_14518649
hCoV-19/Germany/NI-RKI-I-968887/2022	BA.5.1.25	4	0.995819817409624	gisaid	2022-08-29	Germany	Lower Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_14977873
hCoV-19/Germany/NI-RKI-I-984339/2022	BA.5.1.25	238	0.971073136474601	gisaid	2022-08-14	Germany	Lower Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15147897
hCoV-19/Germany/NW-HHU-30052/2022	BA.5.1.25	561	0.962946861518911	gisaid	2022-06-27	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_13740486
hCoV-19/Germany/NW-HHU-30998/2022	BA.5.1.25	323	0.970905929170986	gisaid	2022-08-03	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14483235
hCoV-19/Germany/NW-RKI-I-1018731/2022	BA.5.1.25	393	0.985051667056817	gisaid	2022-10-24	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_15645821
hCoV-19/Germany/NW-RKI-I-1030686/2022	DJ.1.1	3	0.992408788415878	gisaid	2022-11-17	Germany	North Rhine-Westphalia	unknown	unknown	DJ.1.1	EPI_ISL_15901822
hCoV-19/Germany/NW-RKI-I-900961/2022	BA.5.1.25	79	0.995117546734441	gisaid	2022-06-28	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_13934734
hCoV-19/Germany/NW-RKI-I-907523/2022	BA.5.1.25	174	0.990101327625991	gisaid	2022-07-08	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_13940689
hCoV-19/Germany/NW-RKI-I-932776/2022	BA.5.1	13	0.999230846403371	gisaid	2022-07-18	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14408902
hCoV-19/Germany/NW-RKI-I-936219/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-28	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14412109
hCoV-19/Germany/NW-RKI-I-948299/2022	BA.5.1	2	0.99588670033107	gisaid	2022-08-02	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14517113
hCoV-19/Germany/NW-RKI-I-956360/2022	BA.5.1.25	21	0.996053907634685	gisaid	2022-08-17	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14692896
hCoV-19/Germany/NW-RKI-I-956692/2022	BA.5.1	395	0.985753937732	gisaid	2022-08-16	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14693201
hCoV-19/Germany/NW-RKI-I-958641/2022	BA.5.1.25	185	0.989599705715146	gisaid	2022-08-15	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14694522
hCoV-19/Germany/NW-RKI-I-962555/2022	BA.5.1.25	0	0.995786375948901	gisaid	2022-08-17	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14697894
hCoV-19/Germany/NW-RKI-I-964392/2022	BA.5.1.25	0	0.982777647727653	gisaid	2022-08-24	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14877506
hCoV-19/Germany/NW-RKI-I-968826/2022	BA.5.1.25	1	0.992475671337324	gisaid	2022-09-02	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_14977819
hCoV-19/Germany/NW-RKI-I-974722/2022	BA.5.1.25	194	0.986155235260676	gisaid	2022-09-01	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_15130575
hCoV-19/Germany/NW-RKI-I-977812/2022	BA.5.1.25	2	0.992442229876601	gisaid	2022-09-15	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_15132994
hCoV-19/Germany/NW-RKI-I-982667/2022	BA.5.1	0	0.997157475838545	gisaid	2022-09-13	Germany	North Rhine-Westphalia	unknown	unknown	BA.5.1.25	EPI_ISL_15137658
hCoV-19/Germany/NW-RKI-I-984062/2022	BA.5.1.25	956	0.952847540380564	gisaid	2022-08-23	Germany	North Rhine-Westphalia	unknown	unknown	DJ.1	EPI_ISL_15147699
hCoV-19/Germany/RP-RKI-I-1009088/2022	BA.5.1.25	347	0.983379594020667	gisaid	2022-10-03	Germany	Rhineland-Palatinate	unknown	unknown	BA.5.1.25	EPI_ISL_15520320
hCoV-19/Germany/RP-RKI-I-959551/2022	BA.5.1.25	261	0.987058154700197	gisaid	2022-08-01	Germany	Rhineland-Palatinate	unknown	unknown	BA.5.1.25	EPI_ISL_14695792
hCoV-19/Germany/RP-RKI-I-967955/2022	BA.5.1.25	345	0.983446476942113	gisaid	2022-08-17	Germany	Rhineland-Palatinate	unknown	unknown	BA.5.1.25	EPI_ISL_14887292
hCoV-19/Germany/RP-USAFSAM-S18382/2022	BA.5.1.25	0	0.99488345650938	gisaid	2022-07-05	Germany	Rhineland-Palatinate	Female	23	BA.5.1.25	EPI_ISL_14187423
hCoV-19/Germany/RP-USAFSAM-S18707/2022	BA.5.1.25	0	0.994916897970103	gisaid	2022-07-09	Germany	Rhineland-Palatinate	Male	35	BA.5.1.25	EPI_ISL_14207673
hCoV-19/Germany/RP-USAFSAM-S18711/2022	BA.5.1.25	1560	0.942480687556432	gisaid	2022-07-10	Germany	Rhineland-Palatinate	Female	24	BA.5.1.25	EPI_ISL_14207677
hCoV-19/Germany/RP-USAFSAM-S18713/2022	BA.5.1.25	0	0.994682807745042	gisaid	2022-07-10	Germany	Rhineland-Palatinate	Male	22	BA.5.1.25	EPI_ISL_14207679
hCoV-19/Germany/RP-USAFSAM-S19289/2022	BA.5.1.25	0	0.99488345650938	gisaid	2022-07-27	Germany	Rhineland-Palatinate	Female	5	BA.5.1.25	EPI_ISL_14576805
hCoV-19/Germany/RP-USAFSAM-S19438/2022	BA.5.1.25	0	0.994916897970103	gisaid	2022-07-29	Germany	Rhineland-Palatinate	Nak	5	BA.5.1.25	EPI_ISL_14660675
hCoV-19/Germany/RP-USAFSAM-S19691/2022	BA.5.1.25	0	0.99488345650938	gisaid	2022-08-07	Germany	Rhineland-Palatinate	Female	1	BA.5.1.25	EPI_ISL_14890719
hCoV-19/Germany/RP-USAFSAM-S19701/2022	BA.5.1.25	0	0.994850015048657	gisaid	2022-08-08	Germany	Rhineland-Palatinate	Male	41	BA.5.1.25	EPI_ISL_14890725
hCoV-19/Germany/RP-USAFSAM-S19703/2022	BA.5.1.25	0	0.994816573587934	gisaid	2022-08-08	Germany	Rhineland-Palatinate	Female	41	BA.5.1.25	EPI_ISL_14890727
hCoV-19/Germany/SH-RKI-I-942494/2022	BA.5.1.25	94	0.992810085944554	gisaid	2022-07-28	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14419452
hCoV-19/Germany/SH-RKI-I-954713/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-11	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14655135
hCoV-19/Germany/SH-RKI-I-957628/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-10	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14694063
hCoV-19/Germany/SH-RKI-I-959684/2022	BA.5.1.25	510	0.964652376015784	gisaid	2022-08-20	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14695873
hCoV-19/Germany/SH-RKI-I-968115/2022	BA.5.1.3	292	0.971942614453399	gisaid	2022-08-26	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14887442
hCoV-19/Germany/SH-RKI-I-970989/2022	BA.5.1.23	260	0.987860749757549	gisaid	2022-08-23	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14979997
hCoV-19/Germany/SH-RKI-I-971122/2022	BA.5.1.23	262	0.987726983914657	gisaid	2022-08-24	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_14980128
hCoV-19/Germany/SH-RKI-I-972178/2022	BA.5.1.25	238	0.987827308296826	gisaid	2022-08-28	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_15127712
hCoV-19/Germany/SH-RKI-I-985097/2022	BA.5.1.25	294	0.971875731531953	gisaid	2022-09-07	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_15148581
hCoV-19/Germany/SH-RKI-I-990354/2022	BA.5.1	0	0.996956827074207	gisaid	2022-09-13	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_15265446
hCoV-19/Germany/SH-RKI-I-991138/2022	BA.5.1.25	669	0.969367621977728	gisaid	2022-09-20	Germany	Schleswig-Holstein	unknown	unknown	BA.5.1.25	EPI_ISL_15266145
hCoV-19/Germany/SL-RKI-I-928687/2022	BA.5.1.25	401	0.986523091328629	gisaid	2022-07-19	Germany	Saarland	unknown	unknown	BA.5.1.25	EPI_ISL_14403041
hCoV-19/Germany/SL-RKI-I-938678/2022	BA.5.1.25	7	0.999364612246263	gisaid	2022-07-23	Germany	Saarland	unknown	unknown	BA.5.1.25	EPI_ISL_14415605
hCoV-19/Germany/SL-RKI-I-947465/2022	BA.5.1.25	20	0.998929873256864	gisaid	2022-07-26	Germany	Saarland	unknown	unknown	BA.5.1.25	EPI_ISL_14432463
hCoV-19/Germany/SN-RKI-I-1006946/2022	BA.5.1.25	3	0.99765909774939	gisaid	2022-10-05	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15518546
hCoV-19/Germany/SN-RKI-I-1015116/2022	BA.5.1.25	4	0.997525331906498	gisaid	2022-10-11	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15524580
hCoV-19/Germany/SN-RKI-I-1019094/2022	BA.5.1	3	0.997525331906498	gisaid	2022-10-10	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15646129
hCoV-19/Germany/SN-RKI-I-1032170/2022	BA.5.1.25	737	0.968364378156038	gisaid	2022-09-16	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15903812
hCoV-19/Germany/SN-RKI-I-1032743/2022	BA.5.1.25	1	0.997358124602883	gisaid	2022-10-27	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15904386
hCoV-19/Germany/SN-RKI-I-911621/2022	BA.5.1.25	176	0.985954586496338	gisaid	2022-07-11	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_13944438
hCoV-19/Germany/SN-RKI-I-933454/2022	BA.5.1.25	362	0.979734474801859	gisaid	2022-07-19	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_14409529
hCoV-19/Germany/SN-RKI-I-950132/2022	BA.5.1.25	1079	0.955756947463465	gisaid	2022-08-09	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_14519194
hCoV-19/Germany/SN-RKI-I-994252/2022	BA.5.1.25	188	0.985553288967662	gisaid	2022-09-27	Germany	Saxony	unknown	unknown	BA.5.1.25	EPI_ISL_15442810
hCoV-19/Germany/ST-RKI-I-1000755/2022	BA.5.1	26	0.994114302912751	gisaid	2022-10-04	Germany	Saxony-Anhalt	unknown	unknown	BA.5.1.25	EPI_ISL_15447886
hCoV-19/Germany/ST-RKI-I-906841/2022	BA.5.1.25	26	0.994114302912751	gisaid	2022-07-07	Germany	Saxony-Anhalt	unknown	unknown	BA.5.1.25	EPI_ISL_13940180
hCoV-19/Germany/ST-RKI-I-958722/2022	BA.5.1	1253	0.953884225662977	gisaid	2022-08-01	Germany	Saxony-Anhalt	unknown	unknown	BA.5.1.25	EPI_ISL_14694601
hCoV-19/Germany/TH-RKI-I-887684/2022	BA.5.1.25	2	0.99588670033107	gisaid	2022-06-21	Germany	Thuringia	unknown	unknown	BA.5.1.25	EPI_ISL_14368949
hCoV-19/Germany/TH-RKI-I-890719/2022	BA.5.1.25	2	0.99588670033107	gisaid	2022-06-21	Germany	Thuringia	unknown	unknown	BA.5.1.25	EPI_ISL_13923221
hCoV-19/Germany/TH-RKI-I-965168/2022	BA.5.1.25	606	0.978731230980169	gisaid	2022-08-17	Germany	Thuringia	unknown	unknown	BA.5.1.25	EPI_ISL_14878491
hCoV-19/Greece/HERA_PHLnetwork-39879/2022	BA.5.1.25	0	0.997090592917099	gisaid	2022-09-22	Greece	Attica	unknown	unknown	BA.5.1.25	EPI_ISL_15941359
hCoV-19/Guatemala/7202-LNS/2022	BA.5.1.25	0	0.996923385613484	gisaid	2022-06-24	Guatemala	El Progreso	Female	23	BA.5.1.25	EPI_ISL_15887293
hCoV-19/Guatemala/8085-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-15	Guatemala	Guatemala	Male	37	BA.5.1.25	EPI_ISL_14081553
hCoV-19/Guatemala/8128-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-15	Guatemala	Guatemala	Female	16	BA.5.1.25	EPI_ISL_14524815
hCoV-19/Guatemala/8150-LNS/2022	BA.5.1.25	126	0.990803598301174	gisaid	2022-07-15	Guatemala	Solola	Female	9 months	BA.5.1.25	EPI_ISL_14524774
hCoV-19/Guatemala/8208-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-23	Guatemala	Guatemala	Female	19	BA.5.1.25	EPI_ISL_14524804
hCoV-19/Guatemala/8245-LNS/2022	BA.5.1.25	0	0.997257800220714	gisaid	2022-07-22	Guatemala	Zacapa	Female	30	BA.5.1.25	EPI_ISL_15887225
hCoV-19/Guatemala/8276-LNS/2022	BA.5.1.25	222	0.98852957897201	gisaid	2022-07-26	Guatemala	Guatemala	Female	27	BA.5.1.25	EPI_ISL_14524805
hCoV-19/Guatemala/8298-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-07-22	Guatemala	Guatemala	Male	60	BA.5.1.25	EPI_ISL_14524812
hCoV-19/Guatemala/8466-LNS/2022	BA.5.1.25	0	0.99732468314216	gisaid	2022-08-07	Guatemala	San Juan Sacatepequez	Male	14	BA.5.1.25	EPI_ISL_15917656
hCoV-19/Guatemala/8581-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-10	Guatemala	Guatemala	Female	66	BA.5.1.25	EPI_ISL_14766887
hCoV-19/Guatemala/8815-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-22	Guatemala	Chimaltenango	Female	46	BA.5.1.25	EPI_ISL_15246191
hCoV-19/Guatemala/8878-LNS/2022	BA.5.1.25	0	0.995953583252516	gisaid	2022-08-26	Guatemala	Chimaltenango	Female	26	BA.5.1.25	EPI_ISL_15246229
hCoV-19/Guatemala/9036-LNS/2022	BA.5.1	1762	0.937364144065813	gisaid	2022-09-13	Guatemala	Mixco	Male	56	BA.5.1.25	EPI_ISL_15623163
hCoV-19/Guatemala/9063-LNS/2022	BA.5.1	1226	0.947530348125606	gisaid	2022-09-09	Guatemala	Chimaltenango	Female	38	BA.5.1.25	EPI_ISL_15623170
hCoV-19/Guatemala/9308-LNS/2022	BA.5.1.25	74	0.994448717519981	gisaid	2022-10-21	Guatemala	Totonicapan	Male	49	BA.5.1.25	EPI_ISL_15887342
hCoV-19/Guatemala/INC-LNS-332/2022	BA.5.1.25	0	0.99699026853493	gisaid	2022-08-12	Guatemala	Guatemala	Female	23	BA.5.1.25	EPI_ISL_14917780
hCoV-19/Guatemala/INC-LNS-356/2022	BA.5.1.25	0	0.992743203023108	gisaid	2022-08-11	Guatemala	San Marcos	Male	31	BA.5.1.25	EPI_ISL_14917803
hCoV-19/Guatemala/INC-LNS-357/2022	BA.5.1.25	0	0.993010734708892	gisaid	2022-08-11	Guatemala	San Marcos	Male	55	BA.5.1.25	EPI_ISL_14917804
